time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
10.258,-25.23966973146341,0.03656096076856973,-0.20577838744533286,56,0.37232981939084286,298.7821627012395,0.369999999999997
10.313,-25.27692302624328,0.009890865884832211,-0.26846365238327774,56,0.3654769008201339,298.7821627012395,0.35666666666666336
10.363,-25.31691603880698,0.21133379459385807,-0.2758051803814131,56,0.3476402122203917,298.7821627012395,0.34416666666666307
10.416,-25.350090653095616,0.3328778117661709,-0.23983927931985038,56,0.33016804811286643,298.7821627012395,0.3308333333333294
10.467,-25.384053289499978,0.06050919756657067,-0.20906784293448552,56,0.31168523112467567,298.7821627012395,0.31833333333332914
10.518,-25.38102654704658,0.06302650995942109,-0.15232252147441622,56,0.29669738731315404,299.8287225677318,0.3066666666666622
10.571,-25.350696750517148,0.13413685970293235,-0.13964186625574168,56,0.28677909993618067,299.8287225677318,0.2941666666666619
10.625,-25.2865895638396,-0.10660711691531284,-0.1809449627151958,56,0.26747848257570883,299.8287225677318,0.2799999999999949
10.68,-25.24115586010082,0.2581651112421179,-0.21708663851079077,56,0.24669751073315818,299.8287225677318,0.268333333333328
10.732,-25.174283245533264,0.19047493843863286,-0.15041738432412066,56,0.22954828327845578,299.8287225677318,0.2574999999999944
10.784,-25.031712910616463,0.16310108837616175,-0.08334058575452358,56,0.2022979882983299,299.8287225677318,0.24416666666666098
10.836,-24.861976493381274,0.013689532132418499,-0.08050383929433777,56,0.18520457945842214,299.8287225677318,0.23083333333332778
10.891,-24.72697927174583,0.1581547094386429,-0.08562835358833609,56,0.15158250209597707,299.8287225677318,0.2174999999999946
10.944,-24.525559977779075,0.4133039388993328,0.04980111816105111,56,0.1260757686895804,299.8287225677318,0.2074999999999947
10.994,-24.32162235531988,0.5961940555563505,0.059096787094007605,56,0.11660690045830978,299.8287225677318,0.19499999999999482
11.044,-24.19278241489898,0.7212760665850365,0.11408560225733269,56,0.09022628282700997,299.507569265924,0.18333333333332827
11.097,-24.116271293118224,0.6098976281993409,0.11070662898219034,56,0.07414557467036686,299.507569265924,0.16999999999999507
11.15,-24.133971282581836,0.6063543102172669,0.16955305800879003,56,0.057288881427346894,299.507569265924,0.15666666666666187
11.202,-24.195796586534115,0.5412315175717705,0.17217750767152018,56,0.03738341063747792,299.507569265924,0.14499999999999533
11.252,-24.26690662820486,0.6194478844118261,0.07399974072579397,56,0.043945391737875115,299.507569265924,0.13499999999999543
11.304,-24.32449157471283,0.5661374760595919,-0.0188128911613955,56,0.023330195748817034,299.507569265924,0.12333333333332884
11.355,-24.375863115714974,0.4933932452710241,0.01740591054958781,56,0.0072910961993103915,299.507569265924,0.11416666666666211
11.405,-24.45107346923792,0.5391363619756332,0.06343235582262083,56,0.004392809224568356,299.507569265924,0.10166666666666203
11.459,-24.535379385691424,0.5633111012563994,0.029764049281192317,56,0.0,299.507569265924,0.08833333333332861
11.512,-24.616685075127958,0.4143060070305147,-0.0017111766851259148,56,0.0,299.507569265924,0.07666666666666187
11.562,-24.72691033249462,0.3522299654910922,-0.06837513273501593,56,0.0,299.5931428571429,0.06499999999999513
11.612,-24.87450664143146,0.2228883336883653,0.021539428523306453,56,0.0,299.5931428571429,0.05249999999999514
11.665,-25.02048089677428,0.3578687920403472,0.0011735952104734797,56,0.0,299.5931428571429,0.03916666666666183
11.719,-25.14527011043376,0.5072937064390793,-0.08016680803477805,56,0.0,299.5931428571429,0.027499999999995188
11.77,-25.185624408888575,0.5543234422234534,-0.14374788852406234,56,0.0,299.5931428571429,0.01499999999999521
11.825,-25.16425347251117,0.2791665519107078,-0.18498585431540707,56,0.0,299.5931428571429,0.005833333333328541
